divipola,municipio,departamento,anio,cobertura_internet_fijo_pct,hogares_con_internet_pct,cobertura_movil_3g_4g_pct,suscriptores_moviles_por_100_hab,accesos_fijos,accesos_moviles,tecnologia_acceso_fijo,cobertura_2g_pct,cobertura_3g_pct,cobertura_4g_pct,cobertura_5g_pct,centros_digitales,zonas_comunitarias,infraestructura_fibra,operadores,interrupciones_fallas_relevantes,fuente_base,accesos_fijos_2025_t3,penetracion_internet_fijo_2025_t3_pct,accesos_cable_2025_t3,accesos_fiber_to_the_building_o_fiber_to_the_basement__fttb_2025_t3,accesos_fiber_to_the_home__ftth_2025_t3,accesos_fiber_to_the_premises_2025_t3,accesos_hybrid_fiber_coaxial__hfc_2025_t3,accesos_otras_tecnologías_de_fibra__antes_fttx_2025_t3,accesos_otras_tecnologías_inalámbricas_2025_t3,accesos_satelital_2025_t3,accesos_wifi_2025_t3,accesos_wimax_2025_t3,accesos_xdsl_2025_t3,operadores_movil_2025_t3,presencia_2g_2025_t3,presencia_3g_2025_t3,presencia_4g_2025_t3,presencia_5g_2025_t3,fuente_mintic_actualizacion,periodo_actualizacion
27425,Medio Atrato,Chocó,2018,0.0431,0.56,10.0,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,138,1.0534351145038168,,,29.0,,,,,109.0,,,,4,1,1,1,0,MinTIC / Colombia TIC,2025-T3
27430,Medio Baudó,Chocó,2018,0.2686,0.71,17.65,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,98,0.5717953206138048,,,30.0,,,,,68.0,,,,4,1,1,1,1,MinTIC / Colombia TIC,2025-T3
27450,Medio San Juan,Chocó,2018,0.1489,2.34,5.0,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,173,1.4483047300125576,,,65.0,,,,,108.0,,,,4,1,1,1,0,MinTIC / Colombia TIC,2025-T3
27491,Nóvita,Chocó,2018,0.377,15.58,7.14,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,504,4.776798407733864,,,302.0,,,,,202.0,,,,4,1,1,1,0,MinTIC / Colombia TIC,2025-T3
27493,Nuevo Belén de Bajirá,Chocó,2018,,,,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,10,,,,10.0,,,,,,,,,2,1,1,1,0,MinTIC / Colombia TIC,2025-T3
27495,Nuquí,Chocó,2018,0.2707,15.03,22.22,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,348,1.8808777429467085,,,129.0,,,,,218.0,,1.0,,4,1,1,1,0,MinTIC / Colombia TIC,2025-T3
27580,Río Iró,Chocó,2018,0.1762,0.4,14.29,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,41,0.685274945679425,,,25.0,,,,,16.0,,,,4,1,1,1,0,MinTIC / Colombia TIC,2025-T3
27600,Río Quito,Chocó,2018,10.0086,1.75,8.33,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,602,6.475903614457831,486.0,,25.0,,,,,91.0,,,,4,1,1,1,0,MinTIC / Colombia TIC,2025-T3
27615,Riosucio,Chocó,2018,0.3174,2.77,6.45,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,878,1.360312345066931,,,15.0,,,,,863.0,,,,4,1,1,1,0,MinTIC / Colombia TIC,2025-T3
27660,San José del Palmar,Chocó,2018,1.097,3.82,8.33,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,85,1.4632466861766225,,,43.0,,,3.0,,39.0,,,,4,1,1,1,0,MinTIC / Colombia TIC,2025-T3
27745,Sipí,Chocó,2018,0.3081,2.83,8.33,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,106,2.893013100436681,,,24.0,,,,,82.0,,,,4,1,1,1,0,MinTIC / Colombia TIC,2025-T3
27787,Tadó,Chocó,2018,1.9778,5.7,4.35,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,515,2.5151396757179136,,,442.0,,,,,73.0,,,,4,1,1,1,0,MinTIC / Colombia TIC,2025-T3
27800,Unguía,Chocó,2018,0.1441,13.56,7.14,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,111,0.7522363784223367,,,2.0,,,,,109.0,,,,4,1,1,1,0,MinTIC / Colombia TIC,2025-T3
27810,Unión Panamericana,Chocó,2018,0.149,20.42,20.0,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,1037,13.596433722302347,,,944.0,,,,,81.0,12.0,,,4,1,1,1,0,MinTIC / Colombia TIC,2025-T3
